"tLD","description"
"aero","air-transport industry"
"asia","Asia-Pacific region"
"biz","business"
"cat","Catalan"
"com","commercial"
"coop","cooperatives"
"info","information"
"int","international organizations"
"jobs","companies"
"mobi","mobile devices"
"museum","museums"
"name","individuals, by name"
"net","network"
"org","organization"
"pro","professions"
"tel","Internet communication services"
"travel","travel and tourism industry related sites"
"xxx","adult entertainment"
"edu","educational"
"gov","governmental"
"mil","US military"
